t_id,c_id,Bank,Card_Type,Transaction_Time,Transaction_Amount_INR,Merchant_Category,Transaction_City,Device_Type,Is_International,Is_Fraud
T20041,C1079,PNB,Visa,03-05-2026 11:53,39207.6,Fuel,Lucknow,POS,0,0
T20042,C1453,Canara Bank,Visa,07-12-2025 14:17,37346.77,Food Delivery,Ahmedabad,POS,0,0
T20043,C1215,Axis,MasterCard,28-04-2025 13:50,49703.93,Clothing,Indore,Mobile,0,0
T20044,C1225,SBI,MasterCard,10-06-2026 20:31,1023.17,Clothing,Bhubaneswar,Desktop,0,0
T20045,C1117,HDFC,Visa,09-01-2026 00:26,5686.86,Fuel,Delhi,Desktop,0,0
T20046,C1216,Kotak,MasterCard,29-01-2025 19:52,13558.78,Restaurant,Hyderabad,ATM,0,0
T20047,C1458,HDFC,MasterCard,26-05-2026 00:41,109466.72,Grocery,Singapore,Mobile,1,1
T20048,C1135,HDFC,MasterCard,09-07-2025 17:29,30428.46,Grocery,Delhi,Desktop,0,0
T20049,C1066,SBI,RuPay,07-02-2026 17:30,46337.13,Ride Sharing,Indore,POS,0,0
T20050,C1477,Kotak,RuPay,21-03-2025 16:49,13131.67,Fuel,Hyderabad,POS,0,0
T20051,C1177,SBI,MasterCard,31-07-2025 03:26,25029.43,Grocery,Surat,Mobile,0,0
T20052,C1243,Axis,MasterCard,14-01-2025 10:10,27574.9,Electronics,Visakhapatnam,ATM,0,0
T20053,C1496,Kotak,RuPay,24-04-2026 01:21,27318.02,Travel,Nagpur,POS,0,0
T20054,C1325,ICICI,MasterCard,07-09-2025 13:12,41622.71,Clothing,Pune,Mobile,0,0
T20055,C1130,Bank of Baroda,Visa,05-04-2025 12:45,3582.6,Grocery,Kolkata,Mobile,0,0
T20056,C1144,Axis,RuPay,30-04-2026 09:42,43533.36,Fuel,Chandigarh,Mobile,0,0
T20057,C1134,PNB,MasterCard,01-12-2025 13:32,7918.77,Entertainment,Hyderabad,Desktop,0,0
T20058,C1182,ICICI,Visa,28-06-2025 00:01,48285.06,Clothing,Mumbai,ATM,0,0
T20059,C1127,SBI,Visa,03-03-2025 02:06,13982.5,Fuel,Nagpur,Mobile,0,0
T20060,C1153,Kotak,RuPay,15-04-2025 18:14,29360.7,Travel,Chandigarh,Mobile,0,0
T20061,C1457,Bank of Baroda,MasterCard,03-03-2026 09:49,42669.71,Ride Sharing,Visakhapatnam,ATM,0,0
T20062,C1022,Bank of Baroda,RuPay,19-04-2025 20:04,36221.58,Ride Sharing,Lucknow,POS,0,0
T20063,C1008,Axis,Visa,17-01-2026 09:20,28445.55,Grocery,Visakhapatnam,Mobile,0,0
T20064,C1231,SBI,RuPay,07-04-2025 21:59,47977.83,Grocery,Bhubaneswar,POS,0,0
T20065,C1383,HDFC,RuPay,23-12-2025 07:03,215.55,Entertainment,Jaipur,Mobile,0,0
T20066,C1135,Axis,RuPay,28-06-2026 00:33,12647.07,Travel,Nagpur,POS,0,0
T20067,C1245,Kotak,Visa,23-06-2026 17:27,24722.74,ATM Withdrawal,Surat,POS,0,0
T20068,C1354,Kotak,RuPay,26-02-2025 09:56,16622.06,ATM Withdrawal,Chennai,POS,0,0
T20069,C1344,HDFC,RuPay,10-01-2025 01:55,3080.02,Travel,Nagpur,ATM,0,0
T20070,C1392,HDFC,RuPay,31-07-2025 19:06,14312.9,Travel,Visakhapatnam,Desktop,0,0
T20071,C1419,Canara Bank,MasterCard,04-03-2025 12:25,924.35,Online Shopping,Nagpur,POS,0,0
T20072,C1268,Kotak,MasterCard,03-06-2025 10:25,29094.54,Restaurant,Delhi,Desktop,0,0
T20073,C1248,Bank of Baroda,Visa,24-03-2025 01:11,11607.61,Restaurant,Bhubaneswar,Mobile,0,0
T20074,C1213,PNB,MasterCard,25-12-2025 01:01,20300.7,Clothing,Surat,Mobile,0,0
T20075,C1203,HDFC,Visa,30-08-2025 06:19,16261.15,Ride Sharing,Kolkata,Mobile,0,0
T20076,C1199,HDFC,MasterCard,23-06-2026 18:50,12697.95,Online Shopping,Lucknow,Desktop,0,0
T20077,C1146,ICICI,Visa,05-02-2025 03:33,5130.41,Fuel,Jaipur,ATM,0,0
T20078,C1489,Bank of Baroda,Visa,08-01-2026 01:44,9532.96,Food Delivery,Patna,ATM,0,0
T20079,C1314,ICICI,RuPay,08-02-2026 12:32,115205.82,Fuel,Singapore,ATM,1,1
T20080,C1144,Kotak,MasterCard,05-02-2025 15:57,8579.6,Ride Sharing,Chennai,Desktop,0,0
T20081,C1201,HDFC,Visa,23-10-2025 19:02,15076.77,Food Delivery,Ahmedabad,POS,0,0
T20082,C1281,Axis,MasterCard,24-02-2025 17:43,25055.21,Clothing,Pune,ATM,0,0
T20083,C1089,PNB,RuPay,08-11-2025 05:46,27411.88,Electronics,Chennai,Desktop,0,0
T20084,C1454,SBI,RuPay,24-06-2025 03:03,12954.96,Online Shopping,Bhubaneswar,ATM,0,0
T20085,C1385,SBI,MasterCard,29-10-2025 09:09,10539.75,Fuel,Visakhapatnam,Desktop,0,0
T20086,C1434,Axis,Visa,02-04-2025 15:49,26484.82,Fuel,Visakhapatnam,POS,0,0
T20087,C1159,SBI,Visa,08-10-2025 00:42,32307.3,Grocery,Chandigarh,ATM,0,0
T20088,C1037,Bank of Baroda,RuPay,01-06-2026 15:38,48415.65,Pharmacy,Nagpur,ATM,0,0
T20089,C1497,HDFC,RuPay,30-06-2025 22:15,11228.83,Ride Sharing,Bangalore,ATM,0,0
T20090,C1291,SBI,RuPay,03-03-2025 21:33,118.23,Ride Sharing,Mumbai,Desktop,0,0
T20091,C1391,HDFC,Visa,04-04-2025 04:23,26436.24,Electronics,Jaipur,Desktop,0,0
T20092,C1307,SBI,Visa,17-01-2026 21:12,19434.69,Entertainment,Pune,Desktop,0,0
T20093,C1452,Axis,MasterCard,02-12-2025 11:10,47949.05,Entertainment,Jaipur,POS,0,0
T20094,C1332,Kotak,Visa,03-02-2026 07:34,1512.58,Grocery,Ahmedabad,POS,0,0
T20095,C1217,PNB,Visa,29-12-2025 20:37,4100.55,Pharmacy,Indore,Mobile,0,0
T20096,C1202,Axis,Visa,22-05-2026 16:24,35930.7,Fuel,Patna,Mobile,0,0
T20097,C1419,Axis,Visa,30-05-2025 10:28,48494.44,Pharmacy,Nagpur,POS,0,0
T20098,C1312,ICICI,Visa,12-07-2025 23:36,5494.95,Pharmacy,Lucknow,ATM,0,0
T20099,C1201,SBI,Visa,30-04-2026 10:52,47440.63,Grocery,Mumbai,POS,0,0
T20100,C1230,PNB,RuPay,30-10-2025 11:23,35507.44,Electronics,Mumbai,Mobile,0,0
T20101,C1268,Canara Bank,Visa,01-05-2025 14:40,9574.64,Fuel,Patna,ATM,0,0
T20102,C1040,Kotak,Visa,30-09-2025 06:06,22149.64,Clothing,Patna,ATM,0,0
T20103,C1158,Bank of Baroda,Visa,01-04-2025 01:58,19037.48,Grocery,Pune,ATM,0,0
T20104,C1165,PNB,RuPay,23-05-2025 12:23,27099.38,Pharmacy,Bhubaneswar,Mobile,0,0
T20105,C1207,SBI,MasterCard,05-04-2026 23:06,12438.25,Grocery,Indore,ATM,0,0
T20106,C1460,PNB,MasterCard,15-02-2025 13:40,12887.95,Fuel,Mumbai,Desktop,0,0
T20107,C1162,Kotak,MasterCard,26-03-2026 06:29,13145.52,Grocery,Mumbai,Mobile,0,0
T20108,C1238,Bank of Baroda,MasterCard,18-01-2025 15:55,5407.71,Online Shopping,Ahmedabad,ATM,0,0
T20109,C1378,Kotak,RuPay,07-04-2025 15:14,9187.81,Restaurant,Nagpur,POS,0,0
T20110,C1305,HDFC,RuPay,27-08-2025 16:44,23066.02,Travel,Patna,ATM,0,0
T20111,C1017,Canara Bank,RuPay,03-07-2026 05:38,12403.01,Entertainment,Hyderabad,Desktop,0,0
T20112,C1135,HDFC,Visa,28-04-2025 00:19,44179.56,Electronics,Indore,ATM,0,0
T20113,C1235,Axis,RuPay,29-12-2025 23:30,8700.93,Entertainment,Surat,Mobile,0,0
T20114,C1130,Kotak,Visa,03-08-2025 00:42,14005.88,Pharmacy,Lucknow,POS,0,0
T20115,C1464,Axis,MasterCard,16-05-2025 05:59,11813.43,Electronics,Ahmedabad,ATM,0,0
T20116,C1413,HDFC,RuPay,03-07-2025 05:59,25390.86,Pharmacy,Ahmedabad,Mobile,0,0
T20117,C1430,Canara Bank,MasterCard,16-03-2025 12:24,23764.4,Grocery,Kolkata,Desktop,0,0
T20118,C1423,Axis,Visa,19-06-2025 14:06,2567.04,Clothing,Bangalore,POS,0,0
T20119,C1003,HDFC,RuPay,24-11-2025 00:51,38761.16,ATM Withdrawal,Jaipur,Desktop,0,0
T20120,C1104,Kotak,Visa,08-06-2025 11:38,18466.99,ATM Withdrawal,Mumbai,POS,0,0
T20121,C1317,Kotak,Visa,09-01-2025 06:53,20479.3,Travel,Patna,Mobile,0,0
T20122,C1202,ICICI,RuPay,27-12-2025 21:41,3210.39,Entertainment,Nagpur,Mobile,0,0
T20123,C1145,Kotak,MasterCard,21-04-2026 13:02,19918.72,Grocery,Hyderabad,Desktop,0,0
T20124,C1329,Axis,MasterCard,27-06-2026 17:44,119666.14,Ride Sharing,Dubai,ATM,1,1
T20125,C1058,HDFC,MasterCard,29-05-2025 07:21,21736.5,ATM Withdrawal,Kolkata,Desktop,0,0
T20126,C1045,PNB,RuPay,02-12-2025 14:56,38524.58,Entertainment,Singapore,POS,1,1
T20127,C1473,HDFC,Visa,17-04-2025 05:34,14200.59,Online Shopping,Bhubaneswar,ATM,0,0
T20128,C1022,Canara Bank,MasterCard,03-07-2026 17:21,15115.68,Grocery,Pune,ATM,0,0
T20129,C1317,Bank of Baroda,RuPay,04-03-2025 20:07,32034.21,Travel,Hyderabad,ATM,0,0
T20130,C1080,Bank of Baroda,MasterCard,14-05-2025 05:34,2133.54,Electronics,Pune,POS,0,0
T20131,C1387,SBI,RuPay,29-06-2025 21:41,2102.9,Clothing,Pune,Mobile,0,0
T20132,C1156,Bank of Baroda,MasterCard,11-10-2025 20:54,27525.09,ATM Withdrawal,Surat,POS,0,0
T20133,C1224,ICICI,Visa,07-11-2025 00:21,32959.19,Grocery,Chandigarh,ATM,0,0
T20134,C1419,Canara Bank,Visa,05-12-2025 19:15,22368.6,Pharmacy,Ahmedabad,ATM,0,0
T20135,C1046,Canara Bank,RuPay,19-03-2025 23:18,6466.37,Entertainment,Delhi,Mobile,0,0
T20136,C1398,HDFC,Visa,30-01-2025 14:27,4157.94,Entertainment,Chennai,ATM,0,0
T20137,C1314,HDFC,Visa,21-04-2026 07:34,1341.53,Restaurant,Chennai,ATM,0,0
T20138,C1113,HDFC,MasterCard,29-07-2025 15:06,34322.39,ATM Withdrawal,Hyderabad,Desktop,0,0
T20139,C1417,Canara Bank,Visa,26-04-2025 14:40,44832.04,Fuel,Patna,ATM,0,0
T20140,C1190,SBI,Visa,01-06-2025 16:43,30812.52,Restaurant,Jaipur,ATM,0,0
T20141,C1086,Kotak,Visa,28-04-2025 09:42,34000.01,Entertainment,Jaipur,Mobile,0,0
T20142,C1266,HDFC,MasterCard,09-04-2026 08:29,48309.44,Entertainment,Bhubaneswar,ATM,0,0
T20143,C1295,ICICI,MasterCard,22-06-2026 08:09,13274.47,Clothing,Bhubaneswar,Mobile,0,0
T20144,C1024,Kotak,RuPay,19-11-2025 01:26,8878.97,Fuel,Ahmedabad,Desktop,0,0
T20145,C1113,ICICI,MasterCard,11-04-2026 11:30,36665.29,ATM Withdrawal,Patna,ATM,0,0
T20146,C1011,SBI,Visa,01-11-2025 03:37,83491.29,ATM Withdrawal,International,Desktop,1,1
T20147,C1211,Kotak,RuPay,10-08-2025 04:14,26178.28,Restaurant,Bangalore,POS,0,0
T20148,C1230,HDFC,Visa,24-09-2025 16:25,124195.36,Food Delivery,Unknown,POS,0,1
T20149,C1005,SBI,RuPay,30-04-2026 13:59,20127.55,Entertainment,Jaipur,Desktop,0,0
T20150,C1252,Axis,Visa,10-03-2026 01:34,30113.98,Grocery,Surat,Mobile,0,0
T20151,C1029,HDFC,Visa,14-02-2025 19:18,20329.14,ATM Withdrawal,Kolkata,POS,0,0
T20152,C1259,Bank of Baroda,RuPay,14-04-2025 14:18,10015.94,Restaurant,Indore,Desktop,0,0
T20153,C1370,Canara Bank,RuPay,16-02-2025 10:25,31316.89,Entertainment,Lucknow,Mobile,0,0
T20154,C1379,Canara Bank,Visa,01-10-2025 04:23,37272.11,Travel,Indore,Mobile,0,0
T20155,C1456,Kotak,RuPay,10-07-2025 08:46,32218.79,Grocery,Ahmedabad,Desktop,0,0
T20156,C1497,Kotak,MasterCard,09-04-2026 00:34,34302.4,Food Delivery,Indore,POS,0,0
T20157,C1120,Axis,Visa,04-03-2025 04:51,810.62,Ride Sharing,Visakhapatnam,Desktop,0,0
T20158,C1464,Canara Bank,MasterCard,20-05-2025 18:21,16461.26,Entertainment,Chandigarh,Mobile,0,0
T20159,C1452,Kotak,Visa,20-01-2025 07:25,47787.04,Online Shopping,Indore,Mobile,0,0
T20160,C1176,ICICI,RuPay,16-02-2026 13:40,33868.19,Grocery,Unknown,Mobile,0,1
T20161,C1356,HDFC,RuPay,31-01-2025 07:53,34646.63,Grocery,Chennai,Mobile,0,0
T20162,C1273,HDFC,RuPay,06-03-2026 23:16,10005.64,Online Shopping,Bhubaneswar,Mobile,0,0
T20163,C1422,Kotak,MasterCard,29-06-2025 13:16,143402.69,Electronics,International,POS,1,1
T20164,C1133,SBI,MasterCard,13-03-2025 06:16,14758.25,Fuel,Pune,Desktop,0,0
T20165,C1308,Canara Bank,MasterCard,05-02-2025 06:00,45521.19,ATM Withdrawal,Bhubaneswar,Mobile,0,0
T20166,C1177,Canara Bank,RuPay,28-10-2025 16:19,21850.66,Grocery,Kolkata,POS,0,0
T20167,C1223,SBI,RuPay,05-06-2026 04:53,28748.32,Travel,Delhi,Desktop,0,0
T20168,C1251,ICICI,MasterCard,10-07-2026 00:05,267.87,ATM Withdrawal,Mumbai,Desktop,0,0
T20169,C1417,Axis,RuPay,11-01-2026 02:44,28921.47,Travel,Jaipur,ATM,0,0
T20170,C1251,HDFC,RuPay,01-05-2025 17:25,46938.63,Clothing,Bangalore,Desktop,0,0
T20171,C1381,HDFC,MasterCard,11-03-2025 06:51,46428.8,Food Delivery,Chandigarh,Mobile,0,0
T20172,C1279,ICICI,MasterCard,28-09-2025 20:18,15191.89,Food Delivery,Pune,POS,0,0
T20173,C1385,SBI,MasterCard,02-12-2025 14:58,26600.65,ATM Withdrawal,Chennai,Desktop,0,0
T20174,C1283,PNB,Visa,15-01-2026 21:56,43406.51,Pharmacy,Chennai,ATM,0,0
T20175,C1236,Axis,RuPay,17-05-2026 18:14,28979.53,Travel,Jaipur,Desktop,0,0
T20176,C1370,PNB,RuPay,08-08-2025 13:14,36180.64,Entertainment,Chennai,Desktop,0,0
T20177,C1499,HDFC,Visa,28-04-2025 04:22,16437.35,Food Delivery,Ahmedabad,Mobile,0,0
T20178,C1154,Kotak,MasterCard,23-05-2025 07:26,7590.46,Fuel,Chandigarh,POS,0,0
T20179,C1237,SBI,Visa,21-03-2025 13:48,14076.18,Online Shopping,Bangalore,ATM,0,0
T20180,C1237,SBI,Visa,20-05-2026 22:44,25049.3,Fuel,Ahmedabad,ATM,0,0
T20181,C1293,Bank of Baroda,Visa,05-01-2025 00:26,45404.79,Food Delivery,Ahmedabad,POS,0,0
T20182,C1160,Kotak,RuPay,10-05-2026 20:49,32094.86,Ride Sharing,Hyderabad,Mobile,0,0
T20183,C1322,ICICI,MasterCard,02-11-2025 12:42,39129.78,Online Shopping,Ahmedabad,ATM,0,0
T20184,C1345,ICICI,RuPay,28-11-2025 11:07,31097.36,Clothing,Kolkata,Mobile,0,0
T20185,C1128,Axis,Visa,11-10-2025 01:11,45414.19,Ride Sharing,Nagpur,POS,0,0
T20186,C1277,Axis,RuPay,14-01-2026 02:02,5099.3,Pharmacy,Bhubaneswar,Mobile,0,0
T20187,C1485,Canara Bank,Visa,11-04-2026 11:55,26108.33,Food Delivery,Bhubaneswar,POS,0,0
T20188,C1314,PNB,RuPay,13-10-2025 19:19,38146.95,Grocery,Visakhapatnam,Desktop,0,0
T20189,C1321,PNB,RuPay,19-07-2025 18:45,74415.72,Fuel,Singapore,Mobile,1,1
T20190,C1269,Axis,MasterCard,13-06-2025 10:10,37086.46,Pharmacy,Lucknow,POS,0,0
T20191,C1408,Axis,MasterCard,30-04-2025 19:26,46474.48,Food Delivery,Chennai,POS,0,0
T20192,C1407,Bank of Baroda,MasterCard,17-04-2025 12:09,33318.59,Fuel,Bhubaneswar,POS,0,0
T20193,C1360,Bank of Baroda,RuPay,08-12-2025 19:24,39190.49,Fuel,Bhubaneswar,ATM,0,0
T20194,C1409,Kotak,MasterCard,10-05-2026 07:13,24104.37,Travel,Hyderabad,Desktop,0,0
T20195,C1043,PNB,Visa,22-08-2025 06:01,24271.71,Fuel,Nagpur,ATM,0,0
T20196,C1401,ICICI,RuPay,11-02-2025 13:15,41403.6,Clothing,Delhi,Mobile,0,0
T20197,C1150,Kotak,RuPay,24-04-2026 15:13,10526.99,Electronics,Kolkata,POS,0,0
T20198,C1078,Axis,MasterCard,20-06-2025 03:11,38826.46,Entertainment,Hyderabad,POS,0,0
T20199,C1403,Kotak,Visa,20-03-2026 20:02,33439.47,Pharmacy,Delhi,POS,0,0
T20200,C1451,HDFC,RuPay,22-01-2026 12:20,37108.5,Electronics,Delhi,Desktop,0,0
T20201,C1285,SBI,MasterCard,02-11-2025 03:14,41361.34,Pharmacy,Ahmedabad,POS,0,0
T20202,C1306,SBI,Visa,26-05-2026 00:46,12366,Clothing,Nagpur,ATM,0,0
T20203,C1191,Bank of Baroda,MasterCard,22-05-2026 17:29,33281.76,Food Delivery,Nagpur,Mobile,0,0
T20204,C1414,HDFC,RuPay,12-05-2025 10:48,99257.79,Pharmacy,Dubai,ATM,1,1
T20205,C1320,ICICI,MasterCard,06-07-2026 08:33,1743.16,Electronics,Chennai,Desktop,0,0
T20206,C1467,Axis,MasterCard,06-09-2025 12:51,38937.27,Online Shopping,Nagpur,Desktop,0,0
T20207,C1149,PNB,MasterCard,04-11-2025 13:47,27723.68,Online Shopping,Jaipur,Desktop,0,0
T20208,C1104,Canara Bank,Visa,02-01-2026 19:40,43654.58,Clothing,Jaipur,POS,0,0
T20209,C1044,SBI,MasterCard,19-08-2025 21:38,6422.16,Ride Sharing,Lucknow,ATM,0,0
T20210,C1023,Axis,MasterCard,02-02-2026 03:35,19954.18,ATM Withdrawal,Mumbai,Mobile,0,0
T20211,C1356,HDFC,Visa,31-12-2025 16:52,30854.12,Grocery,Chandigarh,ATM,0,0
T20212,C1018,Bank of Baroda,Visa,01-04-2026 07:32,5113.01,Food Delivery,Hyderabad,Mobile,0,0
T20213,C1132,Kotak,Visa,26-09-2025 14:28,39337.68,Online Shopping,Chennai,Mobile,0,0
T20214,C1478,SBI,MasterCard,20-08-2025 21:48,21562.22,ATM Withdrawal,Kolkata,Mobile,0,0
T20215,C1228,HDFC,Visa,28-03-2025 13:01,28787.3,Food Delivery,Indore,ATM,0,0
T20216,C1052,HDFC,RuPay,09-03-2026 10:31,23798.65,Pharmacy,Chennai,POS,0,0
T20217,C1111,HDFC,Visa,21-04-2025 12:17,107017.61,Pharmacy,International,Mobile,1,1
T20218,C1472,SBI,MasterCard,20-07-2025 13:46,22566.3,Ride Sharing,Ahmedabad,POS,0,0
T20219,C1255,Canara Bank,RuPay,16-06-2026 08:49,14692.51,Fuel,Delhi,Mobile,0,0
T20220,C1199,Kotak,MasterCard,07-06-2026 06:10,104590.67,Ride Sharing,International,POS,1,1
T20221,C1372,Canara Bank,MasterCard,21-12-2025 03:13,15848.16,Food Delivery,Mumbai,POS,0,0
T20222,C1322,Bank of Baroda,MasterCard,16-04-2025 12:26,18195.12,Online Shopping,Bangalore,ATM,0,0
T20223,C1498,PNB,RuPay,18-07-2025 01:13,14654.8,Ride Sharing,Patna,Mobile,0,0
T20224,C1126,Bank of Baroda,MasterCard,21-04-2025 01:02,29254.18,Food Delivery,Lucknow,ATM,0,0
T20225,C1000,PNB,MasterCard,15-03-2026 04:55,40383.7,Fuel,Ahmedabad,ATM,0,0
T20226,C1455,ICICI,MasterCard,25-04-2025 12:41,14461.65,Entertainment,Mumbai,ATM,0,0
T20227,C1195,Axis,RuPay,10-09-2025 13:42,27022.06,Travel,Delhi,Desktop,0,0
T20228,C1105,Kotak,RuPay,18-03-2026 22:19,33899.22,Grocery,Mumbai,ATM,0,0
T20229,C1032,Axis,MasterCard,01-12-2025 18:09,26830.79,ATM Withdrawal,Delhi,Desktop,0,0
T20230,C1096,Axis,Visa,16-01-2026 00:09,23855.48,Electronics,Patna,POS,0,0
T20231,C1206,ICICI,Visa,26-05-2026 12:00,18173.15,Grocery,Lucknow,ATM,0,0
T20232,C1041,ICICI,MasterCard,30-09-2025 08:50,18614.83,ATM Withdrawal,Bangalore,Mobile,0,0
T20233,C1300,Axis,MasterCard,09-09-2025 03:57,24365.28,Fuel,Singapore,ATM,1,1
T20234,C1493,ICICI,MasterCard,12-03-2025 17:05,38374.09,Grocery,Surat,Desktop,0,0
T20235,C1445,Canara Bank,MasterCard,27-05-2025 08:33,24525.31,Electronics,Dubai,ATM,1,1
T20236,C1328,HDFC,RuPay,29-03-2025 07:42,12896.83,Entertainment,Delhi,ATM,0,0
T20237,C1120,Axis,Visa,14-05-2025 00:24,42492.24,Grocery,Surat,Desktop,0,0
T20238,C1428,SBI,MasterCard,14-09-2025 07:51,45142.59,Entertainment,Mumbai,ATM,0,0
T20239,C1480,Axis,RuPay,10-02-2025 14:37,7282.64,Ride Sharing,Bangalore,Desktop,0,0
T20240,C1165,PNB,MasterCard,06-03-2026 11:16,37907,Online Shopping,Surat,Mobile,0,0
T20241,C1413,ICICI,RuPay,01-10-2025 01:19,19013.32,Grocery,Nagpur,ATM,0,0
T20242,C1426,Axis,Visa,07-06-2026 06:27,39952.52,ATM Withdrawal,Pune,Desktop,0,0
T20243,C1474,Bank of Baroda,Visa,30-06-2026 11:16,38926.84,Food Delivery,Chennai,Mobile,0,0
T20244,C1059,PNB,Visa,26-11-2025 09:07,16162.15,Clothing,Patna,POS,0,0
T20245,C1455,ICICI,MasterCard,20-06-2026 23:38,9052.97,Restaurant,Mumbai,Desktop,0,0
T20246,C1171,ICICI,MasterCard,01-11-2025 13:41,94228.75,Pharmacy,Dubai,Mobile,1,1
T20247,C1262,SBI,RuPay,20-08-2025 14:38,45163.25,Food Delivery,Surat,POS,0,0
T20248,C1386,Axis,MasterCard,12-02-2026 17:43,41772.35,Online Shopping,Nagpur,Desktop,0,0
T20249,C1458,ICICI,Visa,23-06-2025 19:09,4923.36,Ride Sharing,Ahmedabad,Desktop,0,0
T20250,C1261,ICICI,MasterCard,16-04-2025 02:44,22133.37,Grocery,Kolkata,Desktop,0,0
T20251,C1111,Kotak,RuPay,16-05-2025 07:28,21790.71,Restaurant,Bhubaneswar,POS,0,0
T20252,C1100,HDFC,Visa,12-05-2025 04:00,38533.76,ATM Withdrawal,Visakhapatnam,ATM,0,0
T20253,C1342,Axis,RuPay,09-07-2026 08:20,8807.13,Fuel,Jaipur,POS,0,0
